Level,Expression,Location,Value,Refresh
0,encoderCalibrationResult,0x20000B98,,5 Hz
 1,[0],0x20000B98,-2,5 Hz
 1,[1],0x20000B9C,0,5 Hz
 1,[2],0x20000BA0,4,5 Hz
 1,[3],0x20000BA4,10,5 Hz
 1,[4],0x20000BA8,10,5 Hz
 1,[5],0x20000BAC,13,5 Hz
 1,[6],0x20000BB0,14,5 Hz
 1,[7],0x20000BB4,18,5 Hz
 1,[8],0x20000BB8,22,5 Hz
 1,[9],0x20000BBC,23,5 Hz
 1,[10],0x20000BC0,25,5 Hz
 1,[11],0x20000BC4,28,5 Hz
 1,[12],0x20000BC8,29,5 Hz
 1,[13],0x20000BCC,33,5 Hz
 1,[14],0x20000BD0,31,5 Hz
 1,[15],0x20000BD4,32,5 Hz
 1,[16],0x20000BD8,35,5 Hz
 1,[17],0x20000BDC,36,5 Hz
 1,[18],0x20000BE0,38,5 Hz
 1,[19],0x20000BE4,37,5 Hz
 1,[20],0x20000BE8,39,5 Hz
 1,[21],0x20000BEC,40,5 Hz
 1,[22],0x20000BF0,41,5 Hz
 1,[23],0x20000BF4,39,5 Hz
 1,[24],0x20000BF8,38,5 Hz
 1,[25],0x20000BFC,39,5 Hz
 1,[26],0x20000C00,38,5 Hz
 1,[27],0x20000C04,38,5 Hz
 1,[28],0x20000C08,36,5 Hz
 1,[29],0x20000C0C,35,5 Hz
 1,[30],0x20000C10,35,5 Hz
 1,[31],0x20000C14,35,5 Hz
 1,[32],0x20000C18,32,5 Hz
 1,[33],0x20000C1C,31,5 Hz
 1,[34],0x20000C20,30,5 Hz
 1,[35],0x20000C24,29,5 Hz
 1,[36],0x20000C28,28,5 Hz
 1,[37],0x20000C2C,24,5 Hz
 1,[38],0x20000C30,24,5 Hz
 1,[39],0x20000C34,23,5 Hz
 1,[40],0x20000C38,21,5 Hz
 1,[41],0x20000C3C,19,5 Hz
 1,[42],0x20000C40,14,5 Hz
 1,[43],0x20000C44,13,5 Hz
 1,[44],0x20000C48,12,5 Hz
 1,[45],0x20000C4C,8,5 Hz
 1,[46],0x20000C50,6,5 Hz
 1,[47],0x20000C54,2,5 Hz
 1,[48],0x20000C58,1,5 Hz
 1,[49],0x20000C5C,0,5 Hz
 1,[50],0x20000C60,-5,5 Hz
 1,[51],0x20000C64,-7,5 Hz
 1,[52],0x20000C68,-11,5 Hz
 1,[53],0x20000C6C,-10,5 Hz
 1,[54],0x20000C70,-12,5 Hz
 1,[55],0x20000C74,-19,5 Hz
 1,[56],0x20000C78,-21,5 Hz
 1,[57],0x20000C7C,-23,5 Hz
 1,[58],0x20000C80,-27,5 Hz
